BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
8901103101163,46,FEM SAFFRON FAIRNESS CREME BLEACH 26.4G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101170,68,FEM CREAM BLEACH SAFFRON & MILK 52.8g,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101200,135,FEM CREAM BLEACH APPLE & PEACH 264g,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103107011,38,FEM BLEACH SAKA 15g,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103110011,27,FEM GOLD BLEACH 6.6G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103110028,59,FEM GOLD BLEACH 26.4G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103110066,80,FEM GOLD BLEACH 52.8G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103110080,150,FEM CREAME GOLD BLEACH 237.6g,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103111018,60,FEM BLOSSOM SPRAY 250ML,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103111032,150,FEM BLOSSOM 1LTR,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103111063,30,FEM HAND WASH POUCH BLOSSOM,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103111070,60,FEM BLOSSOM (2PKTS) 1SET,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103113012,60,FEM BOUQUET SPRAY 250ML,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103113029,45,FEM BOUQUET REFIL 250ML,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103117010,0,FEM SOAP HAND DISPENSER LEMON 250M BTL,PERSONAL CARE,BAR SOAPS,DABUR,FEM ,PC
8901103117065,30,FEM HAND WASH POUCH LEMON 200M,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103117072,60,FEM LEMON (2PKTS) 1SET,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103118017,60,FEM PEACH SPRAY 250ML,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103118062,30,FEM HAND WASH POUCH PEACH 200M,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103118079,60,FEM PEACH (2PKTS) 1SET,PERSONAL CARE,LIQUID SOAPS,DABUR,FEM ,PC
8901103121017,0,FEM HAIR REMOVING CREAM ROSE 40GM JAR,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103121024,0,FEM HAIR REMOVING CREAM ROSE 25GM TBE,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103121055,45,FEM HAIR REMOV ANTI DARKENING ROSE 25g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103121062,51,FEM HAIR REMOVER CREAM ROSE 40 G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103121079,52,FEM HAIR REMOV ANTI DARKENING ROSE 40g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103121086,72,FEM ANTI DARKENNING HAIRREM CRM ROSE 60G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
